GameID,Team,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI_b,WPA_b,RE24_b,IP,TBF,H_p,R_p,ER,BB_p,HBP_p,K,HR_p,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI_p,WPA_p,RE24_p
09월 15일,두산,39,35,3,9,0,3,4,0,2,12,9,149,2,19,0.257,0.647,1.62,-0.066,-1.6,8,50,18,13,11,6,1,6,1,11월 07일,199-121,08월 03일,23,12.38,3,0.42,-0.435,-8.92
09월 15일,삼성,50,42,13,18,1,13,6,1,6,11,7,199,0,29,0.429,1.167,1.79,0.435,8.92,9,39,9,3,2,4,0,2,0,12월 09일,149-93,3-0,45,2,1.44,0.42,0.065,1.59
09월 15일,SSG,33,30,0,4,0,0,2,1,8,9,7,126,1,12,0.133,0.379,1.95,-0.357,-4.58,8,39,10,6,4,4,0,7,1,09월 06일,148-92,05월 03일,39,4.5,1.75,0.34,-0.144,-1.92
09월 15일,NC,39,35,6,10,1,3,4,0,7,9,6,148,0,17,0.286,0.788,1.79,0.143,1.93,9,33,4,0,0,2,1,8,0,09월 07일,126-80,0-0,77,0,0.67,0.36,0.357,4.59
09월 15일,한화,41,34,2,6,0,1,5,0,7,11,10,154,1,19,0.176,0.458,3.47,-0.181,-3.08,10,44,7,1,1,8,0,5,0,10월 12일,185-102,2-0,58,0.9,1.5,2.26,0.68,4.1
09월 15일,KIA,44,35,1,7,0,1,8,0,5,10,12,185,0,23,0.2,0.606,6.6,-0.68,-4.1,10,41,6,2,1,5,0,7,0,11월 10일,154-95,1-0,67,0.9,1.1,2.05,0.18,3.1
09월 16일,키움,51,44,12,17,1,12,5,1,8,13,5,204,0,24,0.386,1.005,0.66,0.482,7.4,9,50,18,10,10,4,1,6,0,07월 13일,186-129,05월 02일,33,10,2.44,0.91,0.016,-5.41
09월 16일,롯데,50,44,10,18,0,10,4,1,6,13,7,186,0,25,0.409,0.983,1.86,-0.017,5.4,9,51,17,12,11,5,1,8,1,05월 13일,204-128,08월 04일,13,11,2.44,0.34,-0.482,-7.41
09월 16일,두산,48,39,13,15,4,13,7,0,6,11,8,162,1,19,0.385,1.227,2.67,0.983,8.38,9,45,17,11,10,1,0,8,2,12월 07일,165-112,02월 02일,19,10,2,1.31,-0.484,-7.41
09월 16일,삼성,45,43,11,17,2,11,1,0,8,12,7,165,1,16,0.395,1.028,2.86,0.485,7.41,9,48,15,13,13,7,0,6,4,11월 08일,162-101,03월 01일,20,13,2.44,0.73,-0.985,-8.41
09월 16일,SSG,45,37,10,11,5,10,5,2,4,10,11,161,0,19,0.297,1.139,2,0.248,5.4,9,32,3,0,0,3,1,7,0,05월 13일,120-79,0-0,74,0,0.67,0.32,0.253,4.59
09월 16일,NC,32,28,0,3,0,0,3,1,7,13,5,120,3,11,0.107,0.362,1.32,-0.251,-4.58,9,45,11,10,10,5,2,4,5,10월 11일,161-95,1-0,50,10,1.78,0.35,-0.246,-5.41
09월 16일,한화,55,48,7,11,1,5,7,0,11,9,15,205,1,32,0.229,0.723,2.37,0.571,1.88,12,54,15,6,5,5,0,13,2,06월 13일,211-125,4-0,56,3.75,1.67,2.33,-0.017,0.12
09월 16일,KIA,54,49,6,15,2,6,5,0,13,13,6,211,1,25,0.306,0.921,4,0.017,-0.13,12,55,11,7,6,7,0,11,1,09월 15일,205-131,3-0,46,4.5,1.5,1.48,-0.517,-0.88
09월 17일,한화,37,31,1,5,0,1,4,2,11,12,3,162,1,14,0.161,0.523,2.74,-0.456,-3.59,8,35,6,4,4,5,0,3,1,07월 12일,130-76,0-0,51,4.5,1.38,0.48,-0.046,0.08
09월 17일,LG,35,27,4,6,1,4,5,0,3,7,12,130,0,14,0.222,0.805,1.19,0.045,-0.09,9,37,5,1,1,4,2,11,0,12월 03일,162-97,6-0,65,1,1,1.24,0.454,3.59
09월 17일,두산,38,36,4,9,3,4,2,0,7,9,10,132,1,12,0.25,0.789,3.19,0.005,-0.59,9,32,6,1,1,2,0,5,0,05월 14일,119-86,01월 01일,66,1,0.89,1.01,0.494,2.59
09월 17일,SSG,32,30,1,6,0,1,2,0,5,14,5,119,2,8,0.2,0.517,3.6,-0.494,-2.59,9,38,9,4,4,2,0,7,3,09월 10일,132-85,0-0,71,4,1.22,0.69,-0.006,0.59
09월 17일,KIA,36,34,1,10,0,1,0,0,8,11,3,124,1,20,0.294,0.676,2.14,-0.305,-3.58,8,42,15,10,10,4,0,2,2,08월 09일,152-88,05월 04일,47,11.25,2.38,0.74,-0.196,-5.92
09월 17일,삼성,42,34,10,15,2,10,4,0,2,8,9,152,1,19,0.441,1.281,4.44,0.195,5.91,9,36,10,1,1,0,0,8,0,11월 03일,124-88,0-0,58,1,1.11,0.5,0.305,3.59
09월 17일,롯데,35,33,2,9,0,2,0,0,11,10,4,115,2,13,0.273,0.598,1.54,-0.12,-2.6,9,38,7,0,0,3,0,12,0,08월 06일,170-103,0-0,64,0,1.11,1.41,0.621,4.59
09월 17일,KT,38,34,0,7,0,0,3,0,12,8,6,170,0,22,0.206,0.564,4.99,-0.62,-4.6,9,35,9,2,1,0,0,11,0,10월 04일,115-88,0-0,68,1,1,0.62,0.121,2.59
09월 17일,NC,44,37,3,12,0,3,6,0,4,12,8,145,3,31,0.324,0.77,4.21,-0.022,-1.6,8,37,10,10,10,3,0,12,1,09월 02일,145-96,03월 03일,45,11.25,1.63,1.12,-0.477,-5.92
09월 17일,키움,37,33,10,10,1,10,3,0,12,9,2,145,0,12,0.303,0.906,4.25,0.479,5.92,9,44,12,3,3,6,0,4,0,12월 08일,145-89,0-0,38,3,2,0.73,0.023,1.59
09월 18일,한화,38,35,5,11,0,5,1,0,6,9,11,136,0,12,0.314,0.659,1.15,0.17,0.42,9,39,7,1,1,5,0,9,0,07월 10일,167-100,1-0,61,1,1.33,0.77,0.33,3.59
09월 18일,LG,39,34,1,7,0,1,5,0,9,7,10,167,0,22,0.206,0.543,1.92,-0.33,-3.59,9,38,11,5,5,1,0,6,0,09월 11일,136-86,0-0,37,5,1.33,0.34,-0.17,-0.41
09월 18일,두산,47,44,13,19,4,12,2,1,5,8,12,158,0,16,0.432,1.263,1.8,0.93,9.4,8.1,48,18,14,14,5,2,4,5,08월 09일,169-100,08월 04일,44,15.12,2.76,1.72,-1.43,-11.4
09월 18일,SSG,48,39,14,18,5,14,5,2,4,8,9,169,2,22,0.462,1.455,5.55,1.43,11.4,9,47,19,13,12,2,1,5,4,08월 12일,158-102,03월 03일,32,12,2.33,1.47,-0.931,-9.4
09월 18일,KIA,37,35,6,10,1,6,2,0,5,8,12,126,1,10,0.286,0.695,3.19,0.017,1.4,8,41,13,9,8,5,0,6,0,06월 10일,168-103,05월 02일,44,9,2.25,1.2,-0.518,-5.92
