home_Team,away_Team,home_Recent_5_Win,home_Recent_5_Loss,home_OPS,home_BB,home_HBP,home_SO,home_ERA,home_BB_p,home_K,home_IR,home_IS,home_TBF,away_OPS,away_BB,away_HBP,away_SO,away_ERA,away_BB_p,away_K,away_IR,away_IS,away_TBF
7,3,3,2,0.488,2.8,0,5.8,6.476000000000001,2.8,9.8,0,0,38.8,0.339,4.0,0,8.0,7.35,3.6,6.4,0,0,43.4
9,8,3,2,0.958,2.8,1,8.0,4.276,3.4,6.6,5,1,36.8,0.576,2.2,1,5.0,5.204,3.2,8.6,3,1,39.2
2,8,3,2,0.547,3.0,1,6.6,2.626000000000001,3.6,7.6,3,0,34.8,1.176,4.2,0,9.8,5.95,2.6,6.4,0,0,37.2
2,3,2,3,0.42,3.2,0,7.6,3.94,3.8,6.4,0,0,42.0,0.672,2.8,1,5.8,2.426,3.4,6.6,0,0,37.8
6,9,1,4,0.482,3.0,1,7.2,10.28,5.0,8.0,4,2,45.0,0.6,4.2,2,10.0,4.220000000000001,3.0,8.6,5,1,36.6
8,1,3,2,0.968,5.6,1,6.0,4.186,4.2,5.4,2,2,39.2,0.598,3.4,0,6.8,4.311999999999999,4.2,8.0,0,0,40.6
7,5,4,1,0.881,4.0,0,6.8,2.9,3.2,6.8,0,0,35.2,0.355,3.6,0,6.8,5.146,3.4,8.2,0,0,38.4
3,9,2,3,0.648,3.8,2,4.6,9.926,4.6,5.2,2,0,46.0,0.418,2.2,1,7.0,7.9,2.8,9.2,6,3,42.2
3,9,4,1,0.72,5.2,0,7.8,2.826,2.2,6.4,0,0,34.0,0.594,6.2,2,6.0,3.9,3.4,10.6,0,0,39.6
4,1,3,2,0.901,2.2,1,7.8,3.6,3.2,8.0,8,4,39.0,1.283,3.2,1,7.8,2.926,2.6,8.6,12,6,36.0
7,5,3,2,0.963,4.6,0,8.6,3.06,2.6,7.0,0,0,40.0,0.556,3.2,2,6.0,8.302,4.8,6.4,1,0,38.0
6,1,1,4,1.0,2.4,1,8.4,7.752000000000001,5.0,7.6,1,0,42.2,0.842,2.2,2,7.2,2.8,3.2,6.8,1,1,36.8
8,6,2,1,0.961,4.4,0,5.8,5.25,4.2,7.6,0,0,37.2,0.556,6.0,0,10.4,4.5,4.2,7.6,2,1,39.4
5,0,2,3,0.621,4.2,0,6.2,6.1,4.0,8.0,4,2,45.6,1.096,2.2,1,4.4,1.8,2.6,6.2,0,0,34.2
3,5,1,4,0.708,3.2,1,8.4,6.12,3.4,8.0,0,0,44.4,0.78,1.8,2,7.0,5.724,5.0,8.2,2,0,40.6
0,3,1,4,0.834,4.2,1,4.6,4.65,2.8,4.8,2,1,37.6,0.913,3.4,0,6.4,1.978,2.8,4.8,2,1,32.4
9,3,3,2,0.615,3.2,1,7.4,2.999999999999999,3.4,8.2,1,1,37.6,1.058,4.0,0,8.4,8.065999999999999,5.0,6.2,2,2,44.6
5,2,0,5,0.985,2.2,1,10.4,4.351999999999999,3.2,6.2,0,0,39.2,0.786,4.0,1,7.8,3.0000000000000013,3.0,9.4,6,5,36.6
4,2,3,2,0.441,2.8,1,9.6,3.07,4.2,9.0,4,2,39.0,0.982,4.0,0,7.0,6.126000000000001,3.6,4.8,0,0,39.4
8,7,4,1,0.786,3.0,3,7.4,3.776,4.4,5.4,4,0,38.0,0.668,1.4,0,8.6,4.6,1.8,8.8,2,0,38.2
7,1,3,2,0.65,3.0,0,6.2,2.926,3.2,6.8,0,0,36.0,0.841,2.8,1,5.8,2.526,4.4,8.0,0,0,36.6
5,4,1,4,0.853,3.8,1,5.8,2.3,3.4,7.2,2,0,35.2,0.69,4.6,0,6.6,5.302,3.4,7.6,1,1,38.4
6,0,2,3,0.453,2.2,1,4.2,4.126,2.6,7.4,2,0,35.6,0.956,6.0,0,5.0,7.2,4.6,7.0,1,0,43.2
7,9,3,2,0.45,4.0,1,7.0,6.15,2.4,7.4,2,0,40.6,0.631,2.4,0,8.0,7.537999999999999,5.8,7.4,0,0,43.8
1,2,3,2,0.914,3.2,0,6.6,3.976,2.6,7.2,6,4,36.2,0.969,2.0,0,7.0,4.55,4.6,8.0,8,2,38.6
0,1,0,4,0.966,3.8,0,7.0,7.380000000000001,5.4,7.8,4,1,41.2,0.632,4.0,0,6.2,5.8,4.2,8.6,5,5,41.0
8,4,0,0,0.924,6.2,0,6.4,4.516,6.2,9.4,3,0,40.4,0.464,4.6,0,5.8,6.246,5.0,6.2,0,0,43.2
3,4,4,1,1.006,2.6,1,8.0,4.79,3.6,6.0,5,3,40.4,0.398,2.6,0,7.8,5.12,3.0,8.8,2,1,42.4
0,1,1,4,0.473,3.0,1,7.2,9.896,5.2,7.8,3,0,46.6,0.57,5.8,1,8.2,5.326,3.6,8.0,6,0,36.4
1,3,3,2,1.046,2.0,2,8.6,4.226,4.8,8.2,0,0,41.0,0.721,3.0,0,4.4,5.086,3.4,7.6,3,3,40.0
0,3,2,3,0.256,2.2,0,8.4,2.3,4.2,6.0,0,0,38.8,0.561,4.0,0,5.6,5.9,2.4,7.4,0,0,40.0
2,1,3,2,1.028,2.6,0,7.0,4.376,2.6,5.0,3,1,38.2,1.227,1.6,0,6.0,3.876,4.0,5.6,2,2,39.8
9,0,2,3,0.533,4.6,1,7.0,3.0,2.8,8.2,0,0,36.4,1.119,1.6,1,5.0,3.326,2.8,10.2,0,0,36.8
6,4,0,5,0.412,2.0,1,8.4,4.0,3.0,6.8,0,0,36.6,0.816,3.6,1,6.2,1.872,3.6,8.2,6,1,38.0
5,8,2,3,0.85,4.6,1,8.6,3.35,2.4,9.2,3,0,37.4,0.657,5.6,0,6.0,5.85,4.4,7.0,3,0,42.0
1,5,2,3,0.642,4.2,0,6.4,3.6,5.4,7.8,3,1,40.0,0.947,4.8,0,6.4,5.626,2.6,5.0,5,1,38.2
4,1,3,2,0.792,3.6,1,7.0,2.822,3.4,9.8,0,0,36.8,0.479,3.4,0,8.8,2.8,4.0,6.2,3,0,38.0
